name,job_title,phd_univ,phd_year,research_area,research_concentration,research_focus,url,img_url,phone,email,cell_phone,office_address,department,school
Ken Birman,Professor,Univ California Berkeley,1981,"Security, Systems and Networking",Systems,Reliability and security in modern networked environments,http://www.cs.cornell.edu/ken/,https://www.cs.cornell.edu/sites/default/files/styles/icon-100x100/public/Birman%2C%20Ken.jpg?itok=PVLjjp3X,,,,,"Computer Science, CS Field Member; N. Rama Rao Professor of Computer Science",
Ronald Brachman,Director; Professor,Harvard Univ,1977,Artificial Intelligence,Artificial Intelligence,"Artificial intelligence, information retrieval, database management",http://www.brachman.org/home.html,https://www.cs.cornell.edu/sites/default/files/styles/icon-100x100/public/184_AS36572_copy.jpg?itok=A-i1SuTO,,,,,Jacobs Technion-Cornell Institute,
Anne Bracy,Senior Lecturer,Univ Pennsylvania,2008,Computer Architecture & VLSI,,"Computer Architecture, Instruction Fusion, Hardware Support for Thread Synchronization",http://www.cs.cornell.edu/~bracy/,https://www.cs.cornell.edu/sites/default/files/styles/icon-100x100/public/Bracy%2C%20Anne.jpg?itok=o6pHK41w,,,,,"Computer Science, CS Minor Field Member",
Florentina Bunea,Professor,Univ Washington,2000,Machine Learning,"Artificial Intelligence, Theory of Computation","Statistical Machine Learning Theory, Statistical Foundations for Data Science, High Dimensional Statistics",https://bunea.stat.cornell.edu/,https://www.cs.cornell.edu/sites/default/files/styles/icon-100x100/public/florentina_buneacrop.jpg?itok=oYWycG0l,,,,,"Statistics and Data Science, CS Field Member",
Mark Campbell,Professor,MIT,1996,"Artificial Intelligence, Robotics",,"Robotics, Sensor fusion, Machine learning and Perception",http://campbell.mae.cornell.edu/,https://www.cs.cornell.edu/sites/default/files/styles/icon-100x100/public/campbellpic2.jpg?itok=8W18656v,,,,,Mechanical Engineering; CS Field Member,
Claire Cardie,Professor and Associate Dean for Education,Univ Mass Amherst,1994,"Artificial Intelligence, Human Interaction",Artificial Intelligence,Natural language processing,http://www.cs.cornell.edu/home/cardie/,https://www.cs.cornell.edu/sites/default/files/styles/icon-100x100/public/Cardie%2C%20Claire.jpg?itok=9VHvVYBA,,,,,"Computer Science, CS Field Member; Joseph C. Ford Professor of Engineering",
Eshan Chattopadhyay,Assistant Professor,Univ Texas Austin,2016,Theory of Computing,Theory of Computation,"Use of Randomness in Computation, Computational Complexity Theory and Cryptography",https://www.cs.cornell.edu/~eshan/,https://www.cs.cornell.edu/sites/default/files/styles/icon-100x100/public/eshan_c.jpg?itok=gpRZi0CC,,,,,"Computer Science, CS Field Member",
Sanjiban Choudhury,Assistant Professor,Carnegie Mellon Univ,2018,"Artificial Intelligence, Machine Learning, Robotics","Artificial Intelligence, Scientific Computing and Applications","Imitation Learning, Planning and Learning, Robot Manipulation",http://www.sanjibanchoudhury.com/,https://www.cs.cornell.edu/sites/default/files/styles/icon-100x100/public/sanjiban_photo.jpeg?itok=AxwVv0vv,,,,,Computer Science,
Tanzeem Choudhury,Roger and Joelle Burnell Professor in Integrated Health and Technology,MIT,2004,"Artificial Intelligence, Human Interaction",Artificial Intelligence,"Machine learning techniques for systems that can reason about human activities, interactions, and social networks in everyday environments",http://www.cs.cornell.edu/~tanzeem/,https://www.cs.cornell.edu/sites/default/files/styles/icon-100x100/public/Choudhury%2C%20Tanzeem.jpg?itok=eVrUX9l3,,,,,"Information Science, CS Field Member",
Michael Clarkson,Senior Lecturer,Cornell,2010,"Programming Languages, Security",,"Security, programming languages, electronic voting",http://www.cs.cornell.edu/~clarkson,https://www.cs.cornell.edu/sites/default/files/styles/icon-100x100/public/Clarkson%2C%20Michael.jpg?itok=p9wVH9Ze,,,,,"Computer Science, CS Minor Field Member",
